rank,title,totalGross,maxTheaters,openingDate,simplePR
380,12 O'Clock Boys,82614,21,01/31/14,3934
381,Water & Power,82312,16,05/02/14,5145
382,Fort McCoy,78948,14,08/15/14,5639
383,Whitey: USA v. James J. Bulger,75881,9,06/27/14,8431
384,Just a Sigh,75531,6,03/21/14,12589
385,Better Living Through Chemistry,75143,61,03/14/14,1232
386,Six Dance Lessons in Six Weeks,73613,13,12/12/14,5663
387,Veil of Tears,72078,8,03/28/14,9010
388,"Flamenco, Flamenco",71732,5,07/18/14,14346
389,A Letter to Momo,71712,7,07/23/14,10245
390,The Better Angels,70918,24,11/07/14,2955
391,"Je T'aime, Je T'aime (2014 re-issue)",69364,2,02/14/14,34682
392,Take Me to the River,68598,13,09/12/14,5277
393,For No Good Reason,67421,21,04/25/14,3211
394,The Notebook (2014),66559,15,08/29/14,4437
395,Through a Lens Darkly,65169,3,08/27/14,21723
396,Art of the Steal,64065,60,03/14/14,1068
397,Jealousy,63946,6,08/15/14,10658
398,Heropanti,63649,16,05/23/14,3978
399,No Tears for the Dead,63063,13,06/13/14,4851
400,The Last Sentence,62506,6,06/20/14,10418
401,Siddharth,60537,6,06/27/14,10090
402,Bicycling with Moliere,59874,6,04/23/14,9979
403,Frontera,59696,14,09/05/14,4264
404,Wetlands,59478,10,09/05/14,5948
405,Cheap Thrills,59424,18,03/21/14,3301
406,Walk of Shame,59209,51,05/02/14,1161
407,The One I Wrote For You,58872,49,12/05/14,1201
408,The Conformist (2014 re-release),58657,4,08/29/14,14664
409,Rudderless,58293,18,10/17/14,3239
410,Borgman,57474,14,06/06/14,4105
411,The Rocket (2014),56823,7,01/10/14,8118
412,Ilo Ilo,56773,4,04/04/14,14193
413,The Bag Man,56574,15,02/28/14,3772
414,Big Men,56286,3,03/14/14,18762
415,In Bloom,56092,4,01/10/14,14023
416,Hellion,55708,9,06/13/14,6190
417,Starred Up,54915,7,08/27/14,7845
418,Half of a Yellow Sun,54529,7,05/16/14,7790
